control_time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,angular_vel_x,angular_vel_y,angular_vel_z,local_sp_x,local_sp_y,local_sp_z,local_sp_yaw,local_sp_vx,local_sp_vy,local_sp_vz,local_sp_ax,local_sp_ay,local_sp_az,local_sp_yawspeed,att_sp_qw,att_sp_qx,att_sp_qy,att_sp_qz,rate_sp_roll,rate_sp_pitch,rate_sp_yaw,rate_sp_thrust_x,rate_sp_thrust_y,rate_sp_thrust_z,target_x,target_y,target_z,target_yaw,phase,event,hover_thrust,hover_thrust_valid,takeoff_state,takeoff_tilt_limit,landed,ground_contact,maybe_landed
0.953049,0.098354,-0.0046082,0.0669045,-0.00297339,-0.00253512,0.123702,-0.00157624,0.0186066,-0.00285359,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.00285394,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142697,0.00519069,-0.061399,-4.1469e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.960963,0.0982984,-0.00462158,0.0670574,-0.00301268,-0.00255027,0.123859,-0.0015636,0.0186044,-0.00285288,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.00285324,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142662,0.00515944,-0.0613936,-4.17311e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.973087,0.0982708,-0.00462937,0.0671792,-0.00303206,-0.00257715,0.12397,-0.00155732,0.0186033,-0.00285252,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.00285324,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142662,0.00513872,-0.06139,-4.15863e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
0.981001,0.0982432,-0.00463793,0.0673291,-0.00303207,-0.00260417,0.124101,-0.00155107,0.0186022,-0.00285214,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.00285214,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142607,0.0051078,-0.0613846,-4.08445e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
1.09832,0.0982159,-0.00464726,0.0675082,-0.00301273,-0.00263132,0.124252,-0.00154484,0.0186011,-0.00285176,0.000700928,-0.000117507,7.47934e-05,nan,nan,nan,-0.00285214,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142607,0.00537241,-0.0613757,-3.7517e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
1.1063,0.0981647,-0.00465345,0.0678939,-0.0031532,-0.00033427,0.126827,-0.001899,0.0185957,-0.0028563,-0.0339202,-0.000383799,-0.000324694,nan,nan,nan,-0.0028535,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142675,0.00626611,-0.0613651,-4.16046e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
1.11824,0.0981391,-0.00463818,0.0680709,-0.00323753,0.000621824,0.124543,-0.00188414,0.018602,-0.00285486,0.00176647,0.000814314,0.000207978,nan,nan,nan,-0.0028535,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142675,0.0061751,-0.0613977,-4.92739e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
1.12629,0.0981137,-0.00461981,0.0682714,-0.0031753,0.000673518,0.124664,-0.0018576,0.0186093,-0.00285448,0.00323121,0.00094747,7.48017e-05,nan,nan,nan,-0.00285448,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142724,0.00608758,-0.0614218,-4.86115e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
1.13826,0.0980891,-0.00460344,0.0684993,-0.00308169,0.000295486,0.124788,-0.00183322,0.0186166,-0.0028541,0.00296489,0.00094747,7.48013e-05,nan,nan,nan,-0.00285448,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142724,0.00597575,-0.0614545,-4.83155e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
1.14628,0.0980426,-0.00458531,0.0690335,-0.00288756,-0.000993812,0.125094,-0.00179517,0.0186227,-0.00285329,0.00189963,1.53641e-05,7.48001e-05,nan,nan,nan,-0.0028537,nan,nan,nan,0,0,100,0,0.999999,-0,0,-0.00142685,0.00592354,-0.061454,-4.79504e-05,0,0,-0.001,0.0999705,-0.00398246,-1,-0.00287654,Idle,,nan,nan,2,0.20944,1,1,1
