t,cur_e0, cur_e1, cur_e2, cur_e3,cur_wx, cur_wy, cur_wz,cur_x, cur_y, cur_z,cur_vx, cur_vy, cur_vz,t_pred,input_1, input_2, input_3, input_4,pred_e0, pred_e1, pred_e2, pred_e3,pred_wx, pred_wy, pred_wz,pred_x, pred_y, pred_z,pred_vx, pred_vy, pred_vz
0.88,0.999885,-0.0150745,-0.000358917,-0.00156072,0.00140656,-0.000426431,0.00113861,0.0477542,-0.00304168,-0.00887057,0.00240141,0.00520489,0.0164451,0.9,43.2244,0.00425969,-0.0170621,-0.139644,0.999885,-0.0150674,-0.000360974,-0.00155499,3.83202,-2.91791,-27.6652,0.0477782,-0.00298963,-0.00870612,0.00252478,-0.000340083,-0.0693385
0.9,0.999886,-0.0150401,-0.000350538,-0.00154475,0.00313762,0.00103831,-0.00112507,0.0479908,-0.00294081,-0.00871164,0.00269738,0.00495188,0.0167754,0.92,42.1272,0.0288961,0.0104474,-0.133529,0.999886,-0.0150244,-0.000345455,-0.00155045,8.74563,2.56993,-26.3644,0.0480177,-0.00289129,-0.00854389,0.00281472,-0.000440022,-0.0643419
0.92,0.999886,-0.0150095,-0.000353119,-0.00153131,-0.000192831,-0.00202339,0.000339609,0.0483227,-0.00285926,-0.0085601,0.00315516,0.00420134,0.0167561,0.94,44.2043,0.028206,0.000843368,-0.123501,0.999886,-0.0150104,-0.000363207,-0.00152946,8.60928,0.618645,-24.3906,0.0483542,-0.00281725,-0.00839254,0.00327934,-0.00144489,-0.0731962
0.94,0.999886,-0.0150077,-0.000361958,-0.0015341,0.000606689,-0.00215743,-0.000852801,0.0483922,-0.00284872,-0.0085334,0.00309003,0.00426321,0.0168975,0.96,41.0921,-0.0197402,0.0247646,-0.10483,0.999886,-0.0150047,-0.000372813,-0.0015382,-0.979288,5.33333,-20.581,0.0484231,-0.00280609,-0.00836443,0.00320854,-0.000984877,-0.0598174
0.96,0.999886,-0.0149934,-0.000352182,-0.00155666,0.00220458,0.000505728,-0.00298334,0.0485318,-0.00282227,-0.00847599,0.00349436,0.00459949,0.0163583,0.98,39.5945,0.0335559,-0.00384165,-0.0861371,0.999886,-0.0149823,-0.000349895,-0.00157161,9.69136,-0.429071,-16.928,0.0485667,-0.00277628,-0.0083124,0.00360516,-0.000452504,-0.0539867
0.98,0.999887,-0.0149723,-0.000366158,-0.00155397,0.00113931,-0.00255691,0.00207666,0.048885,-0.00275174,-0.00831152,0.00363164,0.00422099,0.0158999,1,42.5533,0.0042693,0.0107117,-0.12221,0.999887,-0.0149666,-0.000378795,-0.00154339,3.8133,2.58261,-24.0967,0.0489213,-0.00270953,-0.00815252,0.00375581,-0.0012009,-0.0670301
1,0.999887,-0.0149697,-0.000361423,-0.00153873,0.000874143,-2.47903e-05,7.92877e-05,0.0491287,-0.00271472,-0.00821296,0.00340509,0.00440977,0.015631,1.02,39.7193,0.00645875,0.0129222,-0.126956,0.999887,-0.0149653,-0.000361547,-0.00153833,4.24785,3.03851,-25.0424,0.0491627,-0.00267062,-0.00805665,0.00351947,-0.000650147,-0.055245
1.02,0.999887,-0.0149678,-0.000352658,-0.00153348,0.000607827,0.00210574,0.00127771,0.0491994,-0.0027165,-0.00822189,0.00341127,0.00418732,0.0153777,1.04,40.0919,0.000982242,0.00258852,-0.136209,0.999887,-0.0149648,-0.00034204,-0.00152725,3.15168,0.996222,-26.9244,0.0492335,-0.00267462,-0.00806811,0.00352375,-0.000919418,-0.0570831
1.04,0.999887,-0.0149722,-0.000356983,-0.00154255,7.20278e-05,0.000643233,-0.00231767,0.0494354,-0.0027497,-0.00832083,0.00306663,0.00422283,0.0153688,1.06,39.3941,0.0118047,0.0043788,-0.0655352,0.999887,-0.0149719,-0.000353941,-0.00155418,5.34243,1.14693,-12.7848,0.0494661,-0.00270747,-0.00816714,0.00317856,-0.000796509,-0.054124
1.06,0.999884,-0.0151758,-0.000338852,-0.00156792,0.00180308,-2.2546e-05,0.000611831,0.0499285,-0.00277732,-0.00842702,0.00277988,0.00696542,0.0144766,1.08,41.9306,0.00546044,0.00891581,-0.121493,0.999884,-0.0151668,-0.000338933,-0.00156486,4.09344,2.22118,-23.9555,0.0499563,-0.00270767,-0.00828225,0.0028923,0.00155029,-0.0658029
